ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division,Source
BH008800,Shri K Ramanujam,Bihar,0,Graduate,Statistics,"Engineering, Technology and Mathematics",First,Supremo
BH008800,Shri K Ramanujam,Bihar,1,P.G.,Commerce,Finance,Second,Supremo
BH008900,Shri Ishwari Prasad,Bihar,0,Diploma,Sociology,Social Science and Liberal Arts,First,Supremo
BH008900,Shri Ishwari Prasad,Bihar,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
BH008900,Shri Ishwari Prasad,Bihar,2,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
BH009000,Shri U Vaidyanathan,Bihar,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
BH009000,Shri U Vaidyanathan,Bihar,1,P.G.,Economics,Social Science and Liberal Arts,First,Supremo
BH009000,Shri U Vaidyanathan,Bihar,2,P.G.,Political Sc.,Social Science and Liberal Arts,First,Supremo
BH009100,Shri S S Dhanoa,Bihar,0,Graduate,Chemistry,Natural Sciences,Third,Supremo
BH009100,Shri S S Dhanoa,Bihar,1,Graduate,Law,"Governance, Law and Management",Second,Supremo
BH009100,Shri S S Dhanoa,Bihar,2,P.G.,Political Sc.,Social Science and Liberal Arts,Second,Supremo
UP015300,Shri Prem Kumar,Uttar Pradesh,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
UP015300,Shri Prem Kumar,Uttar Pradesh,1,P.G.,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
UP015400,Shri Svs Juneja,Uttar Pradesh,0,Graduate,History,Social Science and Liberal Arts,Second,Supremo
UP015400,Shri Svs Juneja,Uttar Pradesh,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
UP015600,Shri Anand Sarup,Uttar Pradesh,0,Graduate,Economics,Social Science and Liberal Arts,Ordinary,Supremo
UP015600,Shri Anand Sarup,Uttar Pradesh,1,P.G.,English Lit,Languages and Fine Arts,Ordinary,Supremo
UT000400,Shri R M Agrawal,A G M U T,0,Diploma,Intnl.affairs,"Governance, Law and Management",Ordinary,Supremo
UT000400,Shri R M Agrawal,A G M U T,1,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
UT000400,Shri R M Agrawal,A G M U T,2,Graduate,Law,"Governance, Law and Management",First,Supremo
UT000400,Shri R M Agrawal,A G M U T,3,P.G.,Economics,Social Science and Liberal Arts,Second,Supremo
WB007000,Shri Ss Varma,West Bengal,0,Graduate,Civil Engg,"Engineering, Technology and Mathematics",First,Supremo
WB007000,Shri Ss Varma,West Bengal,1,Graduate,Physics,Natural Sciences,Second,Supremo
HY002600,Shri Lc Gupta,Haryana,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",Second,Supremo
HY002600,Shri Lc Gupta,Haryana,1,P.G.,English,Languages and Fine Arts,Third,Supremo
KL002600,Shri V Ramachandran,Kerala,0,Graduate,Geology,Natural Sciences,First,Supremo
KL002600,Shri V Ramachandran,Kerala,1,P.G.,Development Economics,Social Science and Liberal Arts,Ordinary,Supremo
KL002600,Shri V Ramachandran,Kerala,2,P.G.,Geology,Natural Sciences,Ordinary,Supremo
KL002600,Shri V Ramachandran,Kerala,3,P.G.,Petrology,Natural Sciences,Ordinary,Supremo
KN004800,Shri Ab Datar,Karnataka,0,Graduate,Commerce,Finance,First,Supremo
KN004800,Shri Ab Datar,Karnataka,1,Graduate,Law,"Governance, Law and Management",First,Supremo
KN004900,Shri S Varadan,Karnataka,0,Graduate,Mathematics,"Engineering, Technology and Mathematics",First,Supremo
OR005500,Shri Js Baijal,Odisha,0,Graduate,Economics,Social Science and Liberal Arts,Second,Supremo
OR005500,Shri Js Baijal,Odisha,1,P.G.,Economics,Social Science and Liberal Arts,Ordinary,Supremo
WB006800,Ms. Roma Mazumdar,West Bengal,0,Graduate,English,Languages and Fine Arts,Second,Supremo
MH008100,Shri A D Samant,Maharashtra,0,Graduate,Economics,Social Science and Liberal Arts,First,Supremo
